table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,maz_wysk_mzwck,1735,170,280,65,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,maz_wysk_mzwck,1737,170,280,89,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,maz_wysk_mzwck,1739,170,280,124,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,maz_wysk_mzwck,1741,200,280,159,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,maz_wysk_mzwck,1749,280,280,165,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,rus_przmysl,1717,2888,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1718,2886,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1719,1801,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1720,2469,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1721,2139,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1722,2112,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1723,1368,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1724,1871,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1733,1683,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1734,1686,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1735,1560,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1736,1560,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1737,1628,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1738,1671,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
0100,rus_przmysl,1739,1622,2000,0,0,przemysl,rus,przemysl,przmysl,ext,,|,2534974.15061266|6408841.24330848
